STREETSEGID;QUADCODE;ST_NAME
1135;2;D St
1135;2;D St
1140;1;New York Ave
1141;2;6th St
1141;2;6th St
1142;1;Waterside Dr
1143;4;4th St
1144;2;18th St
1145;1;F St
1148;1;Connecticut Ave
1148;1;Connecticut Ave
1151;2;Morris Pl
1159;2;Kennedy St
1160;1;28th St
1161;2;Crittenden St
1163;4;M St
1166;1;49th St
1167;1;International Dr
1170;1;13th St
1172;3;7th St
1175;1;7th St
1176;1;Northampton St
1179;1;13th St
1180;1;Illinois Ave
1181;1;Allison St
1182;1;Kennedy St
1183;1;Quackenbos St
1183;1;Quackenbos St
1183;1;Quackenbos St
1186;4;Maryland Ave
1187;2;Mills Ave
1187;2;Mills Ave
1189;2;Rand Pl
1189;2;Rand Pl
1190;1;8th St
1191;3;37th St
1192;2;Clay St
1192;2;Clay St
1194;1;U St
1196;2;22nd St
1197;1;Pennsylvania Ave
1199;1;Garfield St
1200;1;49th St
1201;2;Michigan Ave
1205;1;Dahlia St
1206;1;44th St
1209;1;32nd St
1209;1;32nd St
1210;3;Massachusetts Ave
1211;1;Kansas Ave
1211;1;Kansas Ave
1212;1;24th St
1215;1;H St
1216;1;Pennsylvania Ave
1218;1;Q St
1220;1;42nd St
1222;1;Kanawha St
1222;1;Kanawha St
1222;1;Kanawha St
1223;3;Minnesota Ave
1225;1;Connecticut Ave
1227;1;Tennyson St
1228;4;Washington Blvd
1229;2;Hamilton St
1229;2;Hamilton St
1230;2;10th St
1231;2;Maryland Ave
1232;4;Maine Ave
1233;2;Porter St
1236;2;Eastern Ave
1236;2;Eastern Ave
1237;1;7th St
1238;3;Gainesville St
1238;3;Gainesville St
1239;1;Montague St
1240;1;Nicholson St
1242;3;Hilltop Ter
1243;1;Rock Creek & Potomac Pkwy
1243;1;Rock Creek & Potomac Pkwy
1245;1;Wisconsin Ave
1246;1;Woodley Rd
1246;1;Woodley Rd
1246;1;Woodley Rd
1247;2;13th Pl
1248;1;3rd Pl
1249;1;Tuckerman St
1249;1;Tuckerman St
1252;1;Tuckerman St
1252;1;Tuckerman St
1254;2;Minnesota Ave
1256;1;Northampton St
1257;2;14th St
1257;2;14th St
1258;1;Appleton St
1259;3;1st St
1259;3;1st St
1262;1;40th St
1264;1;K St
1266;3;Good Hope Rd
1267;2;59th St
1268;1;1st St
1269;1;R St
1270;1;Eastern Ave
1270;1;Eastern Ave
1272;2;Kenilworth Ave
1275;1;Albemarle St
1277;1;Woodley Rd
1278;1;8th St
1282;1;Aspen Dr
1283;3;Texas Ave
1286;2;45th St
1288;3;Minnesota Ave
1289;2;Nannie Helen Burroughs Ave
1290;2;Central Ave
1291;1;13th Pl
1291;1;13th Pl
1294;1;Belmont St
